id;map;mode;playlist;interaction;rank;outcome;kills;deaths;assists;betrayals;suicides;spawns;max_killing_spree;vehicles_destroyed;vehicles_hijacked;total_medals;unique_medals;objectives_completed;damage_taken;damage_dealt;shots_fired;shots_hit;shots_missed;shots_accuracy;round_won;round_lost;round_tied;kills_melee;kills_grenades;kills_headshots;kills_power_weapons;kills_sticks;kills_assassinations;kills_splatters;kills_repulsor;kills_fusion_coils;kdr;kda;avg_life_duration;score;points;joined_in_progress;joined_at;left_at;present_at_beginning;game_completed;kills_expected;kills_expected_sd;deaths_expected;deaths_expected_sd;season;duration;started_at;ended_at
62cbbe1d-9337-43d1-9f54-5dabf6c41c18;Catalyst;Arena:Team Slayer;Team Slayer;pvp;5;loss;24;11;3;0;0;11;10;0;0;18;11;0;3231;5875;441;238;203;53.96825396825397;0;1;0;0;0;15;3;1;0;0;0;0;2.1818181818181817;14;49;2550;24;False;2023-11-25T20:51:04.591Z;;True;True;28.436534934921276;5.021647671060609;8.885305132134102;5.021647671060609;Season5-Op1;661;2023-11-25T20:50:40.531Z;2023-11-25T21:02:06.151Z
9ff31088-8c58-49c4-9b22-02faa88a6342;Disciple;Super Husky Raid:CTF;Husky Raid;pvp;1;win;27;13;2;0;1;14;10;0;0;17;11;0;4628;7461;510;157;353;30.784313725490197;1;0;0;0;2;5;6;0;0;0;0;0;2.076923076923077;14.66;36;3120;1;False;2023-11-25T20:37:42.790Z;;True;True;26.1763580674897;4.985643986189861;12.095245035306041;4.985643986189861;Season5-Op1;650;2023-11-25T20:37:42.779Z;2023-11-25T20:48:32.789Z
579b836d-4e24-4251-bdb7-0402c2ec7a4f;Megapolis;Husky Raid:CTF;Husky Raid;pvp;6;loss;35;25;11;0;0;26;5;0;0;25;12;0;7570;9558;518;213;305;41.11969111969112;0;1;0;1;3;9;20;0;0;0;0;0;1.4;13.66;19;4175;0;False;2023-11-23T20:56:42.462Z;;True;True;28.396872927186767;6.162612757503687;24.45112353766298;6.162612757503687;Season5-Op1;750;2023-11-23T20:56:42.462Z;2023-11-23T21:09:13.238Z
d9dc15a3-7f06-46e3-baec-6d3922a4ecb2;Chasm;Super Fiesta:Slayer;Super Fiesta;pvp;1;win;24;9;4;0;1;10;6;0;0;10;7;0;2869;6107;124;63;61;50.806451612903224;1;0;0;2;0;1;20;0;0;0;0;0;2.6666666666666665;16.33;33;2510;24;False;2023-11-23T20:47:24.177Z;;True;True;18.95813918731902;4.076470435125788;8.690126492323223;4.076470435125788;Season5-Op1;438;2023-11-23T20:47:24.169Z;2023-11-23T20:54:43.057Z
8b8bb754-cc35-4581-8a31-9aeee2b3b023;Recharge;Super Fiesta:Slayer;Super Fiesta;pvp;1;win;22;11;3;0;0;12;5;0;0;14;7;0;3299;5218;213;87;126;40.845070422535215;1;0;0;1;1;4;14;0;0;0;0;0;2;12;24;2360;22;False;2023-11-23T20:39:39.338Z;;True;True;15.818052709843844;3.927506474055252;9.115122734029928;3.927506474055252;Season5-Op1;411;2023-11-23T20:39:39.338Z;2023-11-23T20:46:30.854Z
002927e4-5eb6-4546-9e5a-07fc11cd1c13;Solitude;Super Fiesta:Slayer;Super Fiesta;pvp;6;loss;11;13;3;0;0;13;3;0;0;5;5;0;3464;3414;194;63;131;32.47422680412371;0;1;0;1;1;2;6;0;0;0;0;0;0.8461538461538461;-1;20;1250;11;False;2023-11-23T20:32:08.920Z;;True;True;14.532079044883336;3.8690834584794778;9.378582027261347;3.8690834584794778;Season5-Op1;397;2023-11-23T20:32:08.910Z;2023-11-23T20:38:45.944Z
34da2aa2-c5b7-4410-ae94-58f155262f5b;Detachment;Super Fiesta:Slayer;Super Fiesta;pvp;6;loss;15;15;3;0;0;16;4;0;0;11;9;0;3610;4198;373;121;252;32.43967828418231;0;1;0;0;0;4;4;0;0;0;0;0;1;1;18;1650;15;False;2023-11-23T20:22:54.378Z;;True;True;17.81429290925974;4.271077640747631;11.073621715554463;4.271077640747631;Season5-Op1;475;2023-11-23T20:22:54.377Z;2023-11-23T20:30:49.436Z
e25e3dcb-0017-4d3b-80af-437959a6b220;Bazaar;Super Fiesta:Slayer;Super Fiesta;pvp;5;loss;22;9;1;0;0;10;7;0;0;10;8;0;3004;5246;204;79;125;38.72549019607843;0;1;0;1;1;3;10;0;0;0;0;0;2.4444444444444446;13.33;35;2270;22;False;2023-11-23T20:13:44.432Z;;True;True;17.190034307647743;4.164896873098131;10.384524904736876;4.164896873098131;Season5-Op1;453;2023-11-23T20:13:44.424Z;2023-11-23T20:21:17.587Z
7832d883-2231-4b5e-b525-cb8c303c9005;Ronin;Husky Raid:CTF;Husky Raid;pvp;5;loss;19;16;3;0;0;17;6;0;0;12;10;0;4700;5786;314;142;172;45.22292993630573;0;1;0;0;0;4;14;0;0;0;0;0;1.1875;4;20;2385;1;False;2023-11-23T17:20:36.698Z;;True;True;22.219372079336747;5.102329738614069;16.023460541446376;5.102329738614069;Season5-Op1;532;2023-11-23T17:20:36.689Z;2023-11-23T17:29:29.061Z
c512e85a-a056-41d2-97ec-b7e8a1b2e044;Ronin;Husky Raid:CTF;Husky Raid;pvp;1;win;14;3;8;0;0;4;10;0;0;10;8;0;1575;3668;235;141;94;60;1;0;0;0;2;4;5;0;0;0;0;0;4.666666666666667;13.66;58;2135;1;True;2023-11-23T17:14:22.009Z;;False;True;15.891839534766277;3.665005654671212;6.686865850340979;3.665005654671212;Season5-Op1;352;2023-11-23T17:13:20.091Z;2023-11-23T17:19:13.091Z
5c6d28f8-69c5-47ca-9fb6-6f19725ead5e;Diminished;Husky Raid:CTF;Husky Raid;pvp;7;loss;39;21;12;0;0;21;8;0;0;27;13;0;7620;10748;634;306;328;48.26498422712934;0;1;0;2;2;10;16;0;0;0;0;0;1.8571428571428572;22;28;4535;0;False;2023-11-23T16:05:15.621Z;;True;True;36.60852168016981;6.448343236732499;23.0286280274424;6.448343236732499;Season5-Op1;812;2023-11-23T16:05:15.620Z;2023-11-23T16:18:48.579Z
